Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1972","1972","kg/ha","1.78","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1973","1973","kg/ha","1.88","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1974","1974","kg/ha","1.76","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1975","1975","kg/ha","1.49","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1976","1976","kg/ha","1.69","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1977","1977","kg/ha","2.35","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1978","1978","kg/ha","2.49","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1979","1979","kg/ha","2.67","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1980","1980","kg/ha","2.79","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1981","1981","kg/ha","2.96","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1982","1982","kg/ha","2.78","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1983","1983","kg/ha","2.72","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1984","1984","kg/ha","3.63","Fc","Calculated data"
